name,ra,dec,priority,exp_time,n_dither,n_exposure,group,comments
WR7,109.621375,-13.217083,1,2000,9,1,Eric Liang,
WR116,276.767875,-12.381306,1,3600,9,1,Eric Liang,
WR131,300.079667,33.264167,1,1200,1,3,Eric Liang,"multiple exposures for Monitoring,haven't decided the number of exposures"
WR124,287.878625,16.860583,1,450,1,3,Eric Liang,"multiple exposures for Monitoring,haven't decided the number of exposures"
WR128-1,297.134167,18.201,1,60,1,3,Eric Liang,"multiple exposures for Monitoring,haven't decided the number of exposures"
WR128-2,297.134167,18.201,1,1500,9,1,Eric Liang,
Rosette nebula,97.958333,4.998333,1,720,9,6,Xihan Ji,
NGC6888,303.029167,38.355,1,720,9,1,Xihan Ji,
Westerhout50,287.954167,4.986667,1,900,9,4,Xihan Ji,
Zeta-Oph,249.2875,-10.567778,1,900,3,1,Lin lin,
M51,202.462917,47.409444,1,600,27,1,Zhijie Qu,
NGC4631-qu,190.585772,32.441732,1,3600,3,4,Zhijie Qu,
M33,23.462083,30.660222,1,3600,9,3,Zongnan Li,
M82,148.969583,69.679694,1,3600,9,1,Zongnan Li,
NGC4631-lin,190.533333,32.5415,1,3600,9,1,Zongnan Li,
NGC4258,184.739583,47.303972,1,3600,9,1,Zongnan Li,
CentaurusA,201.365,-43.019167,1,3600,9,1,Zongnan Li,
CCN,62.253,-4.958,1,1800,9,3,Tao Jing,
S88B,296.690417,25.215556,1,900,9,1,Zheng Zheng,
CYG-NE,313.97097,31.734947,1,3400,9,1,Yifei Jin,
CYG-SW,311.45627,31.000694,1,3400,9,1,Yifei Jin,
DIG-JIN,284.196,20.01,1,3600,1,1,Yifei Jin,
W4,38.175,61.45,1,270,3,45,Wei Zhang,
G096.345-00.157,325.37,52.62,1,180,3,4,Wei Zhang,
G112.212+00.229,350.15,61.2,1,200,3,4,Wei Zhang,
G113.900-01.613,354.58,59.97,1,90,3,4,Wei Zhang,
G117.639+02.275,0.43,64.63,1,180,3,9,Wei Zhang,
G136.448+02.519,42.9,62.2,1,300,3,1,Wei Zhang,
G149.738-00.207,60.57,52.44,1,240,3,1,Wei Zhang,
G168.750+00.873,79.87,38.84,1,300,3,25,Wei Zhang,
G173.588-01.606,80.76,33.45,1,270,3,25,Wei Zhang,
G201.535+01.597,99.05,10.87,1,100,3,9,Wei Zhang,
G202.968+02.083,100.15,9.82,1,100,3,9,Wei Zhang,
California Nebula,60.825,36.421667,1,1000,9,16,TK,
IC434,85.225,-2.45,1,1000,9,72,TK,
Orion,83.82,-5.3875,1,1000,9,12,TK,
Tycho,6.33,64.13,1,3600,3,1,Ping Zhou,
G181.1+9.5SW,96.13,32.34,1,1200,3,1,Ping Zhou,
G181.1+9.5NE,96.97,33.03,1,1200,3,1,Ping Zhou,
G156.2+5.7,75.8875,51.965556,1,2400,3,1,Ping Zhou,
G70.0-21.5,323.56,19.4,1,1200,3,1,Ping Zhou,
Pa30,13.292917,67.500361,1,1200,3,1,Ping Zhou,
